round,accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,zkip_failures,delta_norm,ebcd_alert,tcm_state_count,ebcd_variance,ebcd_kurtosis,ebcd_skewness
1,0.019840425531914892,0.01807561483724208,0.48649190419750227,13.876446814698642,17,0,2667.118446911083,0,1,12.043055550838321,0.036722792276337124,-0.024511300738488916
2,0.018670212765957445,0.018393285938020414,0.4915411612511564,13.694909311743647,15,0,2626.35614851709,0,2,25.451871401611978,0.04720773321831473,0.005898204134054498
3,0.019202127659574467,0.019344048275178775,0.4837312991443109,14.517585807698227,16,0,2790.2880204418943,0,3,39.19946595674909,0.045436626481659914,0.007388518248901874
4,0.01776595744680851,0.017510130990917885,0.4865629263991675,13.505630084781048,15,0,2595.0073292951515,0,4,51.79247155884751,-0.016063435174676677,0.0044349619590583296
5,0.020425531914893616,0.020479427241746513,0.489501579845051,14.442517662331593,17,0,2772.8415466289352,0,5,64.27520041858838,0.02506862221840045,0.010008281163796984
6,0.021382978723404257,0.021407440278631968,0.49539630694958364,13.819193014900392,19,0,2653.7710175307598,0,6,74.89962951230922,0.022711482313560794,0.01008789358338588
7,0.01925531914893617,0.019496370771217734,0.494537300531915,13.894573661708726,18,0,2670.4682336774085,0,7,86.63620441819457,0.03157400998027304,0.016619719168193343
8,0.019627659574468086,0.01901572623244089,0.4986452980457909,14.71420950003038,15,0,2825.9071914471374,0,8,101.41276442191395,0.035017818239056364,0.025124675367457962
9,0.021382978723404257,0.021407440278631968,0.49539630694958364,13.784625257475705,19,0,2650.0545909016014,0,9,74.89962951230922,0.022711482313560794,0.01008789358338588
10,0.02574468085106383,0.025134047620657293,0.4995187485545791,13.823445930148416,18,0,2656.625400022238,0,10,86.35046830037942,0.03245846890678861,0.0027755502804338475
11,0.02797872340425532,0.02554587339269839,0.5090908808395005,13.706477543904601,16,0,2632.310927864177,0,11,98.86391908742944,0.0018474729761606135,0.004932383917097838
12,0.029574468085106383,0.027151259576810846,0.5236439436864014,13.75586800604501,17,0,2640.100247466598,0,12,110.57077846298039,0.0398352991016786,0.004463848740493303
