method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
dp_fl,DP-FL,1,0.05,0.07539682539682539,0.058385093167701865,nan,0.03006100558895854,5,5,all,0,0,0,0.41121339797973633
dp_fl,DP-FL,2,0.07,0.057539682539682536,0.06345755693581781,nan,0.03006100558895854,5,5,all,0,0,0,0.33493924140930176
apdp_rtfl,APDP-RTFL,1,0.05,0.09126984126984128,0.06666666666666667,nan,0.033067106147854394,5,5,all,0,0,1,0.6211206912994385
apdp_rtfl,APDP-RTFL,2,0.07,0.057539682539682536,0.06345755693581781,nan,0.033067106147854394,5,5,all,0,0,2,0.5543258190155029
