method,label,reference,final_accuracy,best_accuracy,final_balanced_accuracy,best_balanced_accuracy,final_f1_score,best_f1_score,final_auc_roc,avg_round_time,avg_dp_noise_scale,avg_selected_client_count,avg_agg_client_count,participation_policy,total_zkip_failures,total_ebcd_alerts,final_tcm_state_count,total_warnings,total_downweighted,total_quarantined,avg_regulatory_risk,final_client_accuracy_gap,avg_client_accuracy_gap,final_client_accuracy_std,final_client_min_accuracy,final_epsilon_gap,avg_epsilon_gap,final_participation_gap,avg_participation_gap,final_group_accuracy_gap,final_worst_group_accuracy,final_group_f1_gap,final_group_epsilon_gap,final_group_participation_gap,final_group_quarantine_gap,avg_contribution_score,final_contribution_score_gap,avg_approx_shapley,final_approx_shapley_gap,avg_risk_penalty,avg_fairness_penalty,avg_weight_alignment_error,max_weight_alignment_error,total_polluted_client_rounds,detected_polluted_client_rounds,pollution_detection_rate,regulatory_false_positive_actions
dp_fl,DP-FL,"Arachchige et al., Local differential privacy for deep learning, IEEE Internet of Things Journal 2019/2020.",0.07,0.07,0.057539682539682536,0.07539682539682539,0.06345755693581781,0.06345755693581781,nan,0.37307631969451904,0.03006100558895854,5.0,5.0,all,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
apdp_rtfl,APDP-RTFL,,0.07,0.07,0.057539682539682536,0.09126984126984128,0.06345755693581781,0.06666666666666667,nan,0.5877232551574707,0.033067106147854394,5.0,5.0,all,0,0,2,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
