method,client_id,target_epsilon,final_epsilon,remaining_epsilon,spent_events,budget_exhausted_events
dp_fedsgd,client_0,5.0,4.89210340371976,0.10789659628023962,48,0
dp_fedsgd,client_1,5.0,4.7842068074395225,0.21579319256047746,46,0
dp_fedsgd,client_10,5.0,4.730258509299404,0.2697414907005964,45,0
dp_fedsgd,client_11,5.0,4.730258509299404,0.2697414907005964,45,0
dp_fedsgd,client_12,5.0,4.514465316738924,0.48553468326107563,41,0
dp_fedsgd,client_13,5.0,4.622361913019162,0.3776380869808378,43,0
dp_fedsgd,client_14,5.0,4.568413614879049,0.4315863851209514,42,0
dp_fedsgd,client_15,5.0,4.5144653167389235,0.4855346832610765,41,0
dp_fedsgd,client_16,5.0,4.514465316738928,0.4855346832610721,41,0
dp_fedsgd,client_17,5.0,4.6223619130191675,0.37763808698083245,43,0
dp_fedsgd,client_18,5.0,4.51446531673893,0.4855346832610703,41,0
dp_fedsgd,client_19,5.0,4.568413614879047,0.43158638512095315,42,0
dp_fedsgd,client_2,5.0,4.352620422318573,0.6473795776814271,38,0
dp_fedsgd,client_3,5.0,4.5684136148790415,0.4315863851209585,42,0
dp_fedsgd,client_4,5.0,4.514465316738928,0.4855346832610721,41,0
dp_fedsgd,client_5,5.0,4.676310211159285,0.3236897888407153,44,0
dp_fedsgd,client_6,5.0,4.676310211159281,0.32368978884071886,44,0
dp_fedsgd,client_7,5.0,4.460517018598811,0.5394829814011892,40,0
dp_fedsgd,client_8,5.0,4.4605170185988054,0.5394829814011946,40,0
dp_fedsgd,client_9,5.0,4.460517018598809,0.539482981401191,40,0
