method,client_id,round,steps,sample_rate,noise_multiplier,cumulative_epsilon,incremental_epsilon,target_epsilon,remaining_epsilon,status
dp_fedsgd,client_0,1,14,0.07343660355708548,2.2300341907573364,0.8549850891331402,0.8549850891331402,5.0,4.14501491086686,spent
dp_fedsgd,client_1,1,22,0.046276211135213303,1.8146345023960218,0.9077470699159467,0.9077470699159467,5.0,4.0922529300840536,spent
dp_fedsgd,client_2,1,13,0.07816793893129771,2.2821577236715105,0.8541324178010822,0.8541324178010822,5.0,4.1458675821989175,spent
dp_fedsgd,client_4,1,17,0.059534883720930236,2.018670136252338,0.8749404645317989,0.8749404645317989,5.0,4.125059535468202,spent
dp_fedsgd,client_6,1,18,0.05571273122959739,1.9536752993141482,0.8854296961066711,0.8854296961066711,5.0,4.114570303893329,spent
dp_fedsgd,client_7,1,25,0.04121719529866366,1.7361146384411312,0.9208363672317348,0.9208363672317348,5.0,4.079163632768266,spent
dp_fedsgd,client_8,1,12,0.08446057406796437,2.3606784167501114,0.8496646768205368,0.8496646768205368,5.0,4.150335323179463,spent
dp_fedsgd,client_9,1,19,0.05340008343763037,1.9271544495268584,0.8877152823326615,0.8877152823326615,5.0,4.112284717667339,spent
dp_fedsgd,client_10,1,18,0.05627610463838206,1.9703024255053307,0.8801830605220715,0.8801830605220715,5.0,4.1198169394779285,spent
dp_fedsgd,client_11,1,14,0.0724391624221845,2.2037163529723425,0.8588590831741341,0.8588590831741341,5.0,4.141140916825866,spent
dp_fedsgd,client_12,1,19,0.055148642826367944,1.980158079998539,0.871829386378551,0.871829386378551,5.0,4.128170613621449,spent
dp_fedsgd,client_13,1,20,0.051364365971107544,1.9045642410310317,0.887725486569775,0.887725486569775,5.0,4.112274513430225,spent
dp_fedsgd,client_14,1,21,0.049573973663826494,1.8857314149217534,0.8873228876805483,0.8873228876805483,5.0,4.112677112319451,spent
dp_fedsgd,client_15,1,17,0.059673659673659674,2.0226649563647245,0.8741356425767999,0.8741356425767999,5.0,4.1258643574232,spent
dp_fedsgd,client_16,1,23,0.04525366802191975,1.8133129609989889,0.9011951768543671,0.9011951768543671,5.0,4.098804823145633,spent
dp_fedsgd,client_17,1,18,0.05688888888888889,1.9884094679051891,0.8755744392599054,0.8755744392599054,5.0,4.124425560740095,spent
dp_fedsgd,client_19,1,19,0.05383806519453207,1.9404121958135008,0.8825568084679212,0.8825568084679212,5.0,4.117443191532079,spent
dp_fedsgd,client_0,2,14,0.07343660355708548,2.2300341907573364,1.1053329891999941,0.2503479000668539,5.0,3.894667010800006,spent
dp_fedsgd,client_1,2,22,0.046276211135213303,1.8146345023960218,1.132113393323792,0.22436632340784524,5.0,3.8678866066762083,spent
dp_fedsgd,client_4,2,17,0.059534883720930236,2.018670136252338,1.1180542870806738,0.24311382254887492,5.0,3.881945712919326,spent
dp_fedsgd,client_5,2,20,0.050117462803445575,1.8659709172360714,0.8979888481959978,0.8979888481959978,5.0,4.102011151804002,spent
dp_fedsgd,client_6,2,18,0.05571273122959739,1.9536752993141482,1.1245935467996846,0.2391638506930135,5.0,3.8754064532003154,spent
dp_fedsgd,client_7,2,25,0.04121719529866366,1.7361146384411312,1.1392840034506093,0.21844763621887453,5.0,3.8607159965493905,spent
dp_fedsgd,client_8,2,12,0.08446057406796437,2.3606784167501114,1.1028882370046162,0.25322356018407943,5.0,3.897111762995384,spent
dp_fedsgd,client_10,2,18,0.05627610463838206,1.9703024255053307,1.1211542406067239,0.24097118008465235,5.0,3.8788457593932764,spent
dp_fedsgd,client_11,2,14,0.0724391624221845,2.2037163529723425,1.1084976947321759,0.2496386115580418,5.0,3.8915023052678244,spent
dp_fedsgd,client_12,2,19,0.055148642826367944,1.980158079998539,1.1138369967777844,0.24200761039923335,5.0,3.8861630032222156,spent
dp_fedsgd,client_14,2,21,0.049573973663826494,1.8857314149217534,1.122379645595411,0.23505675791486258,5.0,3.877620354404589,spent
