method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
dp_fl,DP-FL,1,0.018563829787234042,0.01856382978723404,0.017265935819175626,0.483547539893617,19.379221050421556,17,17,all,0,0,0,28.77135157585144
dp_fl,DP-FL,2,0.01978723404255319,0.019787234042553187,0.01846021008857317,0.4873158606036077,19.37922105042156,15,15,all,0,0,0,25.650559425354004
dp_fl,DP-FL,3,0.01797872340425532,0.01797872340425532,0.016535516392039082,0.48379235950508787,19.379221050421556,16,16,all,0,0,0,26.611793279647827
dp_fl,DP-FL,4,0.02452127659574468,0.024521276595744677,0.022143676417574875,0.5014721611933395,19.37922105042156,15,15,all,0,0,0,26.658411026000977
dp_fl,DP-FL,5,0.02398936170212766,0.02398936170212766,0.022834256523103523,0.5024323196114708,19.379221050421556,17,17,all,0,0,0,29.18681836128235
dp_fl,DP-FL,6,0.02143617021276596,0.021436170212765955,0.02196278697389833,0.4985975673566143,19.379221050421556,19,19,all,0,0,0,32.30995011329651
dp_fl,DP-FL,7,0.022393617021276596,0.0223936170212766,0.022262029908828633,0.4955359172641072,19.379221050421556,18,18,all,0,0,0,30.06840991973877
dp_fl,DP-FL,8,0.019840425531914892,0.019840425531914896,0.01899076957429866,0.49467444495837204,19.37922105042156,15,15,all,0,0,0,25.261264085769653
dp_fl,DP-FL,9,0.01898936170212766,0.018989361702127658,0.01813961495255615,0.49605788332562445,19.379221050421556,19,19,all,0,0,0,33.12213611602783
dp_fl,DP-FL,10,0.018404255319148938,0.018404255319148934,0.017334430422352918,0.4876635421484737,19.379221050421556,18,18,all,0,0,0,30.831527709960938
dp_fl,DP-FL,11,0.018936170212765956,0.018936170212765956,0.018171598042181873,0.48423822415587425,19.379221050421556,16,16,all,0,0,0,28.234215021133423
dp_fl,DP-FL,12,0.02021276595744681,0.020212765957446806,0.01950618754828976,0.48589607712765953,19.379221050421556,17,17,all,0,0,0,29.12505578994751
dp_fl,DP-FL,13,0.02170212765957447,0.02170212765957447,0.019906249059405814,0.4815594010175764,19.37922105042156,14,14,all,0,0,0,23.63503408432007
dp_fl,DP-FL,14,0.02452127659574468,0.024521276595744677,0.02211595588921277,0.48706993235430174,19.37922105042156,14,14,all,0,0,0,24.806829929351807
dp_fl,DP-FL,15,0.02127659574468085,0.021276595744680847,0.01944779198531404,0.4766318700855689,19.379221050421556,17,17,all,0,0,0,29.38821506500244
dp_fl,DP-FL,16,0.020691489361702127,0.02069148936170212,0.019727124684654915,0.47568024832331174,19.379221050421556,18,18,all,0,0,0,32.81254315376282
dp_fl,DP-FL,17,0.01803191489361702,0.018031914893617017,0.017691571212664053,0.4739607120143386,19.379221050421556,17,17,all,0,0,0,30.3702871799469
dp_fl,DP-FL,18,0.01803191489361702,0.01803191489361702,0.017675576089433064,0.4781230183279369,19.37922105042156,15,15,all,0,0,0,27.08201575279236
dp_fl,DP-FL,19,0.01680851063829787,0.01680851063829787,0.01619244495762836,0.48590201636216473,19.379221050421556,17,17,all,0,0,0,31.633831024169922
dp_fl,DP-FL,20,0.016170212765957447,0.016170212765957447,0.015921110952789728,0.4882800893270121,19.379221050421556,20,20,all,0,0,0,36.92499661445618
dp_fl,DP-FL,21,0.019095744680851064,0.019095744680851057,0.01802010673412868,0.4854059580249768,19.379221050421556,16,16,all,0,0,0,29.28806161880493
dp_fl,DP-FL,22,0.018563829787234042,0.018563829787234035,0.018221222147507272,0.4849806964037928,19.37922105042156,15,15,all,0,0,0,27.591363191604614
dp_fl,DP-FL,23,0.018936170212765956,0.018936170212765956,0.01780665976306313,0.48656969385985205,19.379221050421556,16,16,all,0,0,0,29.482527256011963
dp_fl,DP-FL,24,0.020638297872340425,0.020638297872340422,0.01949410288930146,0.4877107568223867,19.379221050421556,17,17,all,0,0,0,32.73151993751526
dp_fl,DP-FL,25,0.021329787234042552,0.021329787234042552,0.019899045846847044,0.49046955220860317,19.379221050421556,17,17,all,0,0,0,31.086552381515503
