method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
dp_fl,DP-FL,1,0.05,0.07539682539682539,0.058385093167701865,nan,0.03006100558895854,5,5,all,0,0,0,0.43637704849243164
dp_fl,DP-FL,2,0.07,0.057539682539682536,0.06345755693581781,nan,0.03006100558895854,5,5,all,0,0,0,0.3430166244506836
apdp_rtfl,APDP-RTFL,1,0.05,0.07539682539682539,0.058385093167701865,nan,0.03006100558895854,5,5,all,0,0,1,0.605212926864624
apdp_rtfl,APDP-RTFL,2,0.07,0.057539682539682536,0.06345755693581781,nan,0.03006100558895854,5,5,all,0,0,2,0.603076696395874
