method,round,accuracy,balanced_accuracy,f1_score,precision,recall,auc_roc,round_duration,agg_client_count,selected_client_count,participation_policy,dp_noise_scale,zkip_failures,ebcd_alert,tcm_state_count
dp_fedsgd,1,0.018617021276595744,0.01861702127659574,0.017451543067872274,0.01914611151574407,0.01861702127659574,0.48405819120027743,11.239185571670532,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,2,0.0323936170212766,0.0323936170212766,0.029931340428683516,0.03371609681419635,0.0323936170212766,0.5230202749190563,9.344481229782104,15,15,all,19.37922105042156,0,0,0
dp_fedsgd,3,0.029361702127659574,0.029361702127659574,0.03047141335124423,0.035673274415203626,0.029361702127659574,0.519891986586494,9.952627182006836,16,16,all,19.379221050421556,0,0,0
dp_fedsgd,4,0.029840425531914894,0.0298404255319149,0.029677471237083128,0.03295359299328349,0.0298404255319149,0.5108126011794635,9.227548122406006,15,15,all,19.37922105042156,0,0,0
dp_fedsgd,5,0.031170212765957446,0.031170212765957443,0.029482858476922984,0.03177590624471125,0.031170212765957443,0.5188155382747456,10.259890079498291,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,6,0.029521276595744682,0.029521276595744685,0.027189815050203875,0.028944730331843516,0.029521276595744685,0.5095693411771508,11.97464370727539,19,19,all,19.379221050421556,0,0,0
dp_fedsgd,7,0.033829787234042556,0.033829787234042556,0.029424788949019984,0.030171889334639997,0.033829787234042556,0.5104490214500463,10.991276025772095,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,8,0.03175531914893617,0.031755319148936166,0.02836249862093007,0.029411027271620226,0.031755319148936166,0.5056189003237744,9.215020656585693,15,15,all,19.37922105042156,0,0,0
dp_fedsgd,9,0.028829787234042552,0.028829787234042552,0.02591981252489348,0.026259572081877486,0.028829787234042552,0.511973344993062,11.865217685699463,19,19,all,19.379221050421556,0,0,0
dp_fedsgd,10,0.029840425531914894,0.029840425531914894,0.026781115488792542,0.02722138968714354,0.029840425531914894,0.5132609635175763,11.641677618026733,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,11,0.030425531914893618,0.030425531914893614,0.027043327133259146,0.027873691658751355,0.030425531914893614,0.5157221293940797,10.501816987991333,16,16,all,19.379221050421556,0,0,0
dp_fedsgd,12,0.033191489361702124,0.033191489361702124,0.02972680960684095,0.031122153094040816,0.033191489361702124,0.5252094935245143,11.07343602180481,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,13,0.033723404255319146,0.033723404255319146,0.03027767612275413,0.031316094543587,0.033723404255319146,0.5226587216697502,8.898439645767212,14,14,all,19.37922105042156,0,0,0
dp_fedsgd,14,0.028404255319148936,0.02840425531914893,0.02606269850933178,0.027251749555409027,0.02840425531914893,0.5271010219125809,9.167562246322632,14,14,all,19.37922105042156,0,0,0
dp_fedsgd,15,0.028670212765957447,0.02867021276595744,0.026970564950917618,0.02820038249958254,0.02867021276595744,0.5302680186170213,11.186923503875732,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,16,0.026063829787234042,0.02606382978723404,0.023739109073382322,0.024357608011823545,0.02606382978723404,0.5256926297987974,12.069174766540527,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,17,0.02723404255319149,0.027234042553191486,0.02495330301708139,0.026508323252479194,0.027234042553191486,0.5328518703746531,11.147325277328491,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,18,0.029627659574468085,0.02962765957446809,0.028119213613489343,0.030756620819985273,0.02962765957446809,0.5271778257978723,9.863206386566162,15,15,all,19.37922105042156,0,0,0
dp_fedsgd,19,0.029308510638297872,0.029308510638297876,0.028430358541020388,0.030774606791208508,0.029308510638297876,0.5253780830827937,11.483713865280151,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,20,0.03,0.030000000000000002,0.028780440861344878,0.03084973147479422,0.030000000000000002,0.5302437904717854,13.542759418487549,20,20,all,19.379221050421556,0,0,0
dp_fedsgd,21,0.03180851063829787,0.031808510638297864,0.030748474624100804,0.03378668912760045,0.031808510638297864,0.5359404746762259,10.711824655532837,16,16,all,19.379221050421556,0,0,0
dp_fedsgd,22,0.03303191489361702,0.033031914893617016,0.03028879720693546,0.03238603379231951,0.033031914893617016,0.5325991515379278,10.368175268173218,15,15,all,19.37922105042156,0,0,0
dp_fedsgd,23,0.03175531914893617,0.031755319148936166,0.029003361696025343,0.03299266241039602,0.031755319148936166,0.5334497340425532,10.99462080001831,16,16,all,19.379221050421556,0,0,0
dp_fedsgd,24,0.0325,0.032499999999999994,0.030148625279483452,0.0337211683824787,0.032499999999999994,0.5356974907493062,12.056339502334595,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,25,0.0325,0.0325,0.03077249631513936,0.03420538028513489,0.0325,0.5365795819842738,11.61786437034607,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,26,0.03292553191489362,0.03292553191489361,0.031107039640679637,0.0349392288825986,0.03292553191489361,0.5318914011910267,13.003145694732666,19,19,all,19.379221050421556,0,0,0
dp_fedsgd,27,0.03196808510638298,0.03196808510638298,0.030738758085380916,0.033832638868740834,0.03196808510638298,0.5331697979301573,11.171656131744385,16,16,all,19.379221050421556,0,0,0
dp_fedsgd,28,0.03143617021276596,0.03143617021276595,0.03040677550103226,0.033994601927400246,0.03143617021276595,0.5327898907261795,12.635037899017334,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,29,0.029095744680851063,0.02909574468085106,0.02839651373191899,0.030903690679146775,0.02909574468085106,0.5304647765379278,12.624659776687622,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,30,0.027127659574468086,0.02712765957446808,0.026921328553887975,0.029993712910782244,0.02712765957446808,0.5349473910152638,13.080350399017334,19,19,all,19.379221050421556,0,0,0
dp_fedsgd,31,0.027606382978723403,0.027606382978723396,0.027442272399402792,0.030073145194602427,0.027606382978723396,0.5278426529255319,11.517241477966309,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,32,0.029521276595744682,0.029521276595744685,0.028910906318882983,0.03167433273243158,0.029521276595744685,0.5274886823543015,11.588120460510254,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,33,0.031117021276595744,0.031117021276595744,0.029619876542808413,0.032303688737237476,0.031117021276595744,0.529408957273358,10.083287477493286,15,15,all,19.37922105042156,0,0,0
dp_fedsgd,34,0.03234042553191489,0.03234042553191489,0.03125273152333631,0.034734629399213776,0.03234042553191489,0.5351315795559667,12.271812438964844,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,35,0.03292553191489362,0.03292553191489362,0.03206940541484353,0.03581885087308085,0.03292553191489362,0.5364585149745607,11.816024541854858,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,36,0.03361702127659574,0.03361702127659574,0.03259455024527505,0.036327188233540295,0.03361702127659574,0.5385363537812211,11.847674131393433,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,37,0.031595744680851065,0.031595744680851065,0.031014022366875532,0.0347064058248346,0.031595744680851065,0.5352002760753931,12.449658632278442,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,38,0.030638297872340424,0.030638297872340424,0.030222099867308432,0.03390558411505636,0.030638297872340424,0.5316304087650322,11.599802017211914,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,39,0.032606382978723404,0.032606382978723404,0.030978838147940294,0.03407162023510195,0.032606382978723404,0.5308685664315449,11.292379379272461,16,16,all,19.379221050421556,0,0,0
dp_fedsgd,40,0.0323936170212766,0.0323936170212766,0.03133700302979456,0.03456910308830359,0.0323936170212766,0.5293926659343201,12.153566837310791,17,17,all,19.379221050421556,0,0,0
dp_fedsgd,41,0.033829787234042556,0.033829787234042556,0.032220292806957374,0.03454679095699155,0.033829787234042556,0.5288619030411656,12.156562566757202,18,18,all,19.379221050421556,0,0,0
dp_fedsgd,42,0.03531914893617021,0.03531914893617021,0.03393491855404816,0.03601401111109203,0.03531914893617021,0.5276428711840888,11.904492378234863,17,17,all,19.379221050421556,0,0,0
