method,round,accuracy,balanced_accuracy,f1_score,precision,recall,auc_roc,round_duration,agg_client_count,selected_client_count,participation_policy,dp_noise_scale,zkip_failures,ebcd_alert,tcm_state_count
dp_flprox,1,0.019308510638297874,0.01930851063829787,0.017736849111261072,0.01815215755404872,0.01930851063829787,0.4821192876965772,29.12226414680481,17,17,all,19.379221050421556,0,0,0
dp_flprox,2,0.015425531914893617,0.015425531914893615,0.015182802579850605,0.01615270885873796,0.015425531914893615,0.4717963214037927,25.63512420654297,15,15,all,19.37922105042156,0,0,0
dp_flprox,3,0.017074468085106383,0.01707446808510638,0.01685585616180259,0.017992633284500077,0.01707446808510638,0.4732637632978723,26.529252767562866,16,16,all,19.379221050421556,0,0,0
dp_flprox,4,0.019095744680851064,0.01909574468085106,0.01729595622417524,0.01736702317960494,0.01909574468085106,0.4771368481151711,26.352805852890015,15,15,all,19.37922105042156,0,0,0
dp_flprox,5,0.01851063829787234,0.018510638297872337,0.01687562664104575,0.01699123516039694,0.018510638297872337,0.47865546513644763,29.027087688446045,17,17,all,19.379221050421556,0,0,0
dp_flprox,6,0.017712765957446808,0.017712765957446808,0.015735623163384515,0.015990178811066187,0.017712765957446808,0.4796648415818687,32.46553015708923,19,19,all,19.379221050421556,0,0,0
dp_flprox,7,0.023617021276595745,0.023617021276595748,0.02014979453798752,0.020421846281290477,0.023617021276595748,0.4875167524283071,29.8623104095459,18,18,all,19.379221050421556,0,0,0
dp_flprox,8,0.022180851063829787,0.022180851063829787,0.020111052266235906,0.020382421889780743,0.022180851063829787,0.4945793955249769,24.991982460021973,15,15,all,19.37922105042156,0,0,0
dp_flprox,9,0.022234042553191488,0.022234042553191488,0.0200749306682081,0.020717795800610197,0.022234042553191488,0.49057487569380215,32.034037828445435,19,19,all,19.379221050421556,0,0,0
dp_flprox,10,0.024361702127659573,0.024361702127659576,0.021850448799500686,0.021792421913140604,0.024361702127659576,0.4919467868293247,31.165135860443115,18,18,all,19.379221050421556,0,0,0
dp_flprox,11,0.025691489361702128,0.025691489361702124,0.022626361661808418,0.023336449486340925,0.025691489361702124,0.48676414199814977,27.711134433746338,16,16,all,19.379221050421556,0,0,0
dp_flprox,12,0.02148936170212766,0.021489361702127657,0.0209776059611239,0.023587092760009854,0.021489361702127657,0.4856816171369102,30.08990454673767,17,17,all,19.379221050421556,0,0,0
dp_flprox,13,0.01925531914893617,0.019255319148936165,0.019226531718986067,0.022009402307920017,0.019255319148936165,0.4880768703746531,23.581779718399048,14,14,all,19.37922105042156,0,0,0
dp_flprox,14,0.019627659574468086,0.019627659574468086,0.019565489390225916,0.02200698820674073,0.019627659574468086,0.4810387922062905,24.579288721084595,14,14,all,19.37922105042156,0,0,0
dp_flprox,15,0.018776595744680852,0.01877659574468085,0.01901032519766336,0.0216656140912276,0.01877659574468085,0.48655331868640145,29.979236364364624,17,17,all,19.379221050421556,0,0,0
dp_flprox,16,0.017819148936170214,0.01781914893617021,0.017616344877613217,0.019753324892041936,0.01781914893617021,0.4819093952358926,32.915316343307495,18,18,all,19.379221050421556,0,0,0
dp_flprox,17,0.016329787234042555,0.01632978723404255,0.016532590943148337,0.019381869190374656,0.01632978723404255,0.47629576636216464,30.378664255142212,17,17,all,19.379221050421556,0,0,0
dp_flprox,18,0.01574468085106383,0.015744680851063824,0.01575578213125638,0.017932194021928246,0.015744680851063824,0.4803181833950046,27.462047576904297,15,15,all,19.37922105042156,0,0,0
dp_flprox,19,0.016010638297872342,0.01601063829787234,0.016111427590686903,0.01816435656597519,0.01601063829787234,0.4762711450624422,31.079638957977295,17,17,all,19.379221050421556,0,0,0
dp_flprox,20,0.016595744680851062,0.016595744680851062,0.017267137089944713,0.020839742502168534,0.016595744680851062,0.47812881880203517,35.90548658370972,20,20,all,19.379221050421556,0,0,0
dp_flprox,21,0.015319148936170212,0.01531914893617021,0.016030982635618966,0.01922485452807807,0.01531914893617021,0.4752228781221092,28.749308347702026,16,16,all,19.379221050421556,0,0,0
dp_flprox,22,0.016914893617021278,0.016914893617021278,0.017335812255118304,0.020524142726096022,0.016914893617021278,0.4722359851988899,27.614494562149048,15,15,all,19.37922105042156,0,0,0
dp_flprox,23,0.01680851063829787,0.01680851063829787,0.016110554177861124,0.01720407833802384,0.01680851063829787,0.4703154573311749,28.878833770751953,16,16,all,19.379221050421556,0,0,0
dp_flprox,24,0.017872340425531916,0.017872340425531912,0.017100304452512382,0.01806038432047508,0.017872340425531912,0.472971968952359,32.391549587249756,17,17,all,19.379221050421556,0,0,0
dp_flprox,25,0.018882978723404255,0.018882978723404255,0.017659173797974024,0.018672296842149893,0.018882978723404255,0.47679347826086954,31.254706859588623,17,17,all,19.379221050421556,0,0,0
dp_flprox,26,0.016117021276595745,0.016117021276595738,0.015513547481043853,0.017173844836546895,0.016117021276595738,0.47377899369796483,34.60403394699097,19,19,all,19.379221050421556,0,0,0
dp_flprox,27,0.015531914893617021,0.015531914893617016,0.014499488748741357,0.015517677351825878,0.015531914893617016,0.4678010580481035,31.1065833568573,16,16,all,19.379221050421556,0,0,0
dp_flprox,28,0.01670212765957447,0.016702127659574465,0.015905285026397244,0.017408761299870363,0.016702127659574465,0.46454355197733577,34.19782638549805,18,18,all,19.379221050421556,0,0,0
dp_flprox,29,0.01776595744680851,0.01776595744680851,0.01678367268420789,0.018571069299761173,0.01776595744680851,0.46922264251850143,35.061577558517456,18,18,all,19.379221050421556,0,0,0
dp_flprox,30,0.016595744680851062,0.01659574468085106,0.015756409145498366,0.01756752659762225,0.01659574468085106,0.4709361918940795,37.05396866798401,19,19,all,19.379221050421556,0,0,0
dp_flprox,31,0.01627659574468085,0.016276595744680843,0.015589577686410588,0.0170803744735179,0.016276595744680843,0.46940397057123034,32.87238359451294,17,17,all,19.379221050421556,0,0,0
dp_flprox,32,0.015425531914893617,0.015425531914893612,0.014980022435942703,0.01644289196147398,0.015425531914893612,0.46429469385985184,32.6829674243927,17,17,all,19.379221050421556,0,0,0
dp_flprox,33,0.015904255319148936,0.015904255319148936,0.015272365017900346,0.016449500105571623,0.015904255319148936,0.463411184666975,28.526920557022095,15,15,all,19.37922105042156,0,0,0
dp_flprox,34,0.016063829787234044,0.01606382978723404,0.015427163488942543,0.016513355119205837,0.01606382978723404,0.4637630680504162,33.14829349517822,18,18,all,19.379221050421556,0,0,0
dp_flprox,35,0.01680851063829787,0.01680851063829787,0.01629316932482313,0.01765064462291814,0.01680851063829787,0.4639280744102682,33.7598237991333,17,17,all,19.379221050421556,0,0,0
dp_flprox,36,0.015159574468085106,0.015159574468085104,0.015009260722979131,0.016740964348183694,0.015159574468085104,0.4627461074814986,34.60803413391113,17,17,all,19.379221050421556,0,0,0
dp_flprox,37,0.013138297872340426,0.013138297872340424,0.013282652292608107,0.015152681684678811,0.013138297872340424,0.4605750144542092,35.27052140235901,18,18,all,19.379221050421556,0,0,0
dp_flprox,38,0.01351063829787234,0.01351063829787234,0.013583069752158967,0.01514270502322524,0.01351063829787234,0.45745008961609623,31.961883306503296,17,17,all,19.379221050421556,0,0,0
dp_flprox,39,0.01223404255319149,0.012234042553191488,0.012090882758221072,0.01350472174010527,0.012234042553191488,0.4605211132631823,31.845568418502808,16,16,all,19.379221050421556,0,0,0
dp_flprox,40,0.01127659574468085,0.011276595744680849,0.010849890423273728,0.01269476212109033,0.011276595744680849,0.45773180215078624,34.15983963012695,17,17,all,19.379221050421556,0,0,0
dp_flprox,41,0.011755319148936171,0.011755319148936167,0.011463636843809192,0.013866599781723235,0.011755319148936167,0.45970414113089736,35.05780243873596,18,18,all,19.379221050421556,0,0,0
dp_flprox,42,0.011808510638297872,0.011808510638297869,0.01168712741859919,0.014255372042000556,0.011808510638297869,0.45980204382516193,33.80283260345459,17,17,all,19.379221050421556,0,0,0
dp_flprox,43,0.012925531914893616,0.012925531914893616,0.012285915423755739,0.013825878081980075,0.012925531914893616,0.46423903792784466,35.654401540756226,18,18,all,19.379221050421556,0,0,0
dp_flprox,44,0.012872340425531915,0.01287234042553191,0.012413506902048684,0.014326178884865546,0.01287234042553191,0.4660451159227566,33.53683567047119,17,17,all,19.379221050421556,0,0,0
dp_flprox,45,0.013138297872340426,0.013138297872340424,0.012392070288931224,0.013841365537351649,0.013138297872340424,0.4668544128700278,31.823999404907227,16,16,all,19.379221050421556,0,0,0
dp_flprox,46,0.013404255319148937,0.013404255319148933,0.01275275617081081,0.014410524788208473,0.013404255319148933,0.4658299505666049,28.122098445892334,15,15,all,19.37922105042156,0,0,0
dp_flprox,47,0.014361702127659574,0.014361702127659573,0.014064702608895235,0.016513306746706393,0.014361702127659573,0.4675881316489362,37.280457496643066,19,19,all,19.379221050421556,0,0,0
