method,round,accuracy,balanced_accuracy,f1_score,precision,recall,auc_roc,round_duration,agg_client_count,selected_client_count,participation_policy,dp_noise_scale,zkip_failures,ebcd_alert,tcm_state_count
fedavg,1,0.5382978723404256,0.5382978723404256,0.5247883602640496,0.5649207021803506,0.5382978723404256,0.9448626474329324,27.760234117507935,17,17,all,0.0,0,0,0
fedavg,2,0.5518085106382978,0.5518085106382979,0.5331278264205841,0.5749630991720454,0.5518085106382979,0.9515399456521737,24.22506546974182,15,15,all,0.0,0,0,0
fedavg,3,0.5690425531914893,0.5690425531914894,0.5507356363590852,0.5834336963522105,0.5690425531914894,0.9539321288159112,25.410759210586548,16,16,all,0.0,0,0,0
fedavg,4,0.5801595744680851,0.580159574468085,0.5711976358208855,0.5960453365567084,0.580159574468085,0.9556543449352453,24.584572792053223,15,15,all,0.0,0,0,0
fedavg,5,0.5877127659574468,0.5877127659574469,0.5761985561873555,0.6044877125436401,0.5877127659574469,0.9563572299953746,26.951367616653442,17,17,all,0.0,0,0,0
fedavg,6,0.604468085106383,0.604468085106383,0.5967923866399776,0.6102956679510458,0.604468085106383,0.9575307441026828,30.553526163101196,19,19,all,0.0,0,0,0
fedavg,7,0.6102659574468086,0.6102659574468084,0.6032384426972528,0.6115592768796893,0.6102659574468084,0.9577529457678077,27.800512075424194,18,18,all,0.0,0,0,0
fedavg,8,0.5988829787234042,0.5988829787234042,0.586628793527486,0.6113658167718212,0.5988829787234042,0.9569578659805734,23.84157133102417,15,15,all,0.0,0,0,0
fedavg,9,0.6118085106382979,0.6118085106382979,0.6039213386787123,0.6180687866215998,0.6118085106382979,0.9585463488667898,30.91311025619507,19,19,all,0.0,0,0,0
fedavg,10,0.6114893617021276,0.6114893617021276,0.6035296181598973,0.6206392562322178,0.6114893617021276,0.9585660268270121,29.000270128250122,18,18,all,0.0,0,0,0
fedavg,11,0.6022872340425532,0.6022872340425531,0.5911097900378103,0.6160682475599324,0.6022872340425531,0.9580054839269194,26.131714582443237,16,16,all,0.0,0,0,0
fedavg,12,0.6203723404255319,0.620372340425532,0.6131587699728709,0.6241722082245738,0.620372340425532,0.9592771710222018,27.256474494934082,17,17,all,0.0,0,0,0
fedavg,13,0.6097872340425532,0.6097872340425532,0.5996708650910131,0.6229101820155034,0.6097872340425532,0.958908767923219,21.845357418060303,14,14,all,0.0,0,0,0
fedavg,14,0.6146808510638297,0.6146808510638297,0.6099213563450295,0.6194002834258142,0.6146808510638297,0.9587374508556893,22.321874618530273,14,14,all,0.0,0,0,0
fedavg,15,0.6165957446808511,0.6165957446808511,0.6066774190682177,0.6229519841082973,0.6165957446808511,0.9594753295559667,26.501018524169922,17,17,all,0.0,0,0,0
fedavg,16,0.623031914893617,0.6230319148936169,0.6163675595214018,0.6256695950103033,0.6230319148936169,0.9598705596669749,29.99028968811035,18,18,all,0.0,0,0,0
fedavg,17,0.6200531914893617,0.6200531914893618,0.6104423438520938,0.6240207676522207,0.6200531914893618,0.9598929232192416,28.139649868011475,17,17,all,0.0,0,0,0
fedavg,18,0.6156382978723405,0.6156382978723405,0.6092625337863582,0.622494802702568,0.6156382978723405,0.9598894253006478,24.70431089401245,15,15,all,0.0,0,0,0
fedavg,19,0.6198936170212765,0.6198936170212767,0.6123194379324401,0.6240696484454928,0.6198936170212767,0.9599790558510636,27.583648681640625,17,17,all,0.0,0,0,0
fedavg,20,0.6272340425531915,0.6272340425531915,0.6202706384626748,0.6283286323805013,0.6272340425531915,0.9606506735661426,31.596840858459473,20,20,all,0.0,0,0,0
fedavg,21,0.6193617021276596,0.6193617021276596,0.6112838191702064,0.6259321156864252,0.6193617021276596,0.9602753324468087,25.357443809509277,16,16,all,0.0,0,0,0
fedavg,22,0.6196808510638298,0.6196808510638298,0.6139096786467901,0.6259989921383141,0.6196808510638298,0.9603299664662348,24.220449447631836,15,15,all,0.0,0,0,0
fedavg,23,0.628031914893617,0.6280319148936171,0.6197123593275147,0.6289629682119308,0.6280319148936171,0.9603752688482886,25.18714928627014,16,16,all,0.0,0,0,0
fedavg,24,0.6210106382978723,0.6210106382978724,0.6135504213639073,0.6238934015549198,0.6210106382978724,0.960688477104533,28.187514305114746,17,17,all,0.0,0,0,0
fedavg,25,0.6261702127659574,0.6261702127659574,0.6197920928707165,0.6290564263649329,0.6261702127659574,0.960754980920444,26.674094200134277,17,17,all,0.0,0,0,0
fedavg,26,0.6277127659574468,0.6277127659574467,0.6207067481160039,0.6292203303289006,0.6277127659574467,0.9612037523126736,30.34529972076416,19,19,all,0.0,0,0,0
fedavg,27,0.6257446808510638,0.6257446808510638,0.6183579849527252,0.6301539772988451,0.6257446808510638,0.9606353665587419,26.065727472305298,16,16,all,0.0,0,0,0
fedavg,28,0.6320212765957447,0.6320212765957449,0.6257668785878597,0.6299158141806223,0.6320212765957449,0.9613427006244217,28.4084529876709,18,18,all,0.0,0,0,0
fedavg,29,0.6308510638297873,0.6308510638297872,0.6236205754434184,0.6301870079621947,0.6308510638297872,0.9612685447502313,29.06964349746704,18,18,all,0.0,0,0,0
fedavg,30,0.6295212765957446,0.6295212765957446,0.622814178626477,0.6293134732016872,0.6295212765957446,0.96133950913506,30.05742359161377,19,19,all,0.0,0,0,0
fedavg,31,0.6297340425531915,0.6297340425531915,0.6238034408081583,0.6271832381799737,0.6297340425531915,0.9610315708834415,27.000943422317505,17,17,all,0.0,0,0,0
fedavg,32,0.6299468085106383,0.6299468085106382,0.6239800675841867,0.62959780481301,0.6299468085106382,0.9610291396854765,27.202802419662476,17,17,all,0.0,0,0,0
fedavg,33,0.6241489361702127,0.6241489361702126,0.6153429833614971,0.6311136750693661,0.6241489361702126,0.960478885291397,23.6127347946167,15,15,all,0.0,0,0,0
fedavg,34,0.630904255319149,0.630904255319149,0.6227592397787105,0.6297413195472432,0.630904255319149,0.9611241963459758,27.298125982284546,18,18,all,0.0,0,0,0
fedavg,35,0.6310638297872341,0.631063829787234,0.6246360503260382,0.6296792101266453,0.631063829787234,0.9616097883903792,27.56037998199463,17,17,all,0.0,0,0,0
fedavg,36,0.6300531914893617,0.6300531914893617,0.6238091439122141,0.6293098337315601,0.6300531914893617,0.9611177006244218,27.435580730438232,17,17,all,0.0,0,0,0
fedavg,37,0.632127659574468,0.632127659574468,0.6260861440808199,0.6304124924663449,0.632127659574468,0.9616831753006474,28.38251543045044,18,18,all,0.0,0,0,0
fedavg,38,0.6322340425531915,0.6322340425531915,0.6264114085933298,0.6317052108871045,0.6322340425531915,0.9613818541859389,26.582768440246582,17,17,all,0.0,0,0,0
fedavg,39,0.6255851063829787,0.6255851063829787,0.6179448963690116,0.6270677866136584,0.6255851063829787,0.9611751561054581,26.131114721298218,16,16,all,0.0,0,0,0
fedavg,40,0.6275,0.6275,0.6203374284937874,0.6324555196849548,0.6275,0.9611170935476411,27.72198510169983,17,17,all,0.0,0,0,0
fedavg,41,0.6301063829787235,0.6301063829787233,0.6233846558168926,0.6341369867364474,0.6301063829787233,0.9613170097132285,28.46847105026245,18,18,all,0.0,0,0,0
fedavg,42,0.633563829787234,0.6335638297872341,0.6260444574660954,0.6334004974577407,0.6335638297872341,0.9615096814292322,27.030385971069336,17,17,all,0.0,0,0,0
fedavg,43,0.6298936170212766,0.6298936170212764,0.6230803456614011,0.6302753888858623,0.6298936170212764,0.9615521912580943,28.533817291259766,18,18,all,0.0,0,0,0
fedavg,44,0.6308510638297873,0.6308510638297873,0.6232996202832906,0.6307351009578692,0.6308510638297873,0.9613552584412579,27.618188858032227,17,17,all,0.0,0,0,0
fedavg,45,0.628031914893617,0.6280319148936171,0.6219798396296852,0.630030438943176,0.6280319148936171,0.961396753584644,26.152814149856567,16,16,all,0.0,0,0,0
fedavg,46,0.6301595744680851,0.6301595744680851,0.624110870134859,0.6297175861557477,0.6301595744680851,0.9608393270120259,23.251468420028687,15,15,all,0.0,0,0,0
fedavg,47,0.6317553191489361,0.6317553191489361,0.625163362360972,0.6335638402316283,0.6317553191489361,0.9618537841119335,30.50696039199829,19,19,all,0.0,0,0,0
fedavg,48,0.6304787234042554,0.6304787234042553,0.6245590887099057,0.6328033571918574,0.6304787234042553,0.9616038824005553,28.44023609161377,18,18,all,0.0,0,0,0
fedavg,49,0.6256914893617022,0.6256914893617022,0.6188757259801332,0.629088870765303,0.6256914893617022,0.9612018935013876,25.482101440429688,16,16,all,0.0,0,0,0
fedavg,50,0.6314893617021277,0.6314893617021277,0.6234710002995719,0.6310208855799528,0.6314893617021277,0.9616519686632747,29.545227766036987,19,19,all,0.0,0,0,0
