method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
fedavg,FedAvg,41,0.6301063829787235,0.6301063829787233,0.6233846558168926,0.9613170097132285,0.0,18,18,all,0,0,0,28.46847105026245
fedavg,FedAvg,42,0.633563829787234,0.6335638297872341,0.6260444574660954,0.9615096814292322,0.0,17,17,all,0,0,0,27.030385971069336
fedavg,FedAvg,43,0.6298936170212766,0.6298936170212764,0.6230803456614011,0.9615521912580943,0.0,18,18,all,0,0,0,28.533817291259766
fedavg,FedAvg,44,0.6308510638297873,0.6308510638297873,0.6232996202832906,0.9613552584412579,0.0,17,17,all,0,0,0,27.618188858032227
fedavg,FedAvg,45,0.628031914893617,0.6280319148936171,0.6219798396296852,0.961396753584644,0.0,16,16,all,0,0,0,26.152814149856567
fedavg,FedAvg,46,0.6301595744680851,0.6301595744680851,0.624110870134859,0.9608393270120259,0.0,15,15,all,0,0,0,23.251468420028687
fedavg,FedAvg,47,0.6317553191489361,0.6317553191489361,0.625163362360972,0.9618537841119335,0.0,19,19,all,0,0,0,30.50696039199829
fedavg,FedAvg,48,0.6304787234042554,0.6304787234042553,0.6245590887099057,0.9616038824005553,0.0,18,18,all,0,0,0,28.44023609161377
fedavg,FedAvg,49,0.6256914893617022,0.6256914893617022,0.6188757259801332,0.9612018935013876,0.0,16,16,all,0,0,0,25.482101440429688
fedavg,FedAvg,50,0.6314893617021277,0.6314893617021277,0.6234710002995719,0.9616519686632747,0.0,19,19,all,0,0,0,29.545227766036987
