method,label,reference,final_accuracy,best_accuracy,final_balanced_accuracy,best_balanced_accuracy,final_f1_score,best_f1_score,final_auc_roc,avg_round_time,avg_dp_noise_scale,avg_selected_client_count,avg_agg_client_count,participation_policy,total_zkip_failures,total_ebcd_alerts,final_tcm_state_count,total_warnings,total_downweighted,total_quarantined,avg_regulatory_risk,final_client_accuracy_gap,avg_client_accuracy_gap,final_client_accuracy_std,final_client_min_accuracy,final_epsilon_gap,avg_epsilon_gap,final_participation_gap,avg_participation_gap,final_group_accuracy_gap,final_worst_group_accuracy,final_group_f1_gap,final_group_epsilon_gap,final_group_participation_gap,final_group_quarantine_gap,avg_contribution_score,final_contribution_score_gap,avg_approx_shapley,final_approx_shapley_gap,avg_risk_penalty,avg_fairness_penalty,avg_weight_alignment_error,max_weight_alignment_error,total_polluted_client_rounds,detected_polluted_client_rounds,pollution_detection_rate,regulatory_false_positive_actions
dp_fl,DP-FL,"Arachchige et al., Local differential privacy for deep learning, IEEE Internet of Things Journal 2019/2020.",0.4953723404255319,0.4953723404255319,0.4953723404255319,0.4953723404255319,0.47505571264946556,0.47505571264946556,0.9418744594125807,91.61290798187255,0.012758028412917505,16.94,16.94,all,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
dp_flprox,DP-FLProx,"Li et al., Federated optimization in heterogeneous networks, MLSys 2020.",0.49531914893617024,0.49531914893617024,0.4953191489361701,0.4953191489361701,0.47495369975966123,0.47495369975966123,0.941869232770583,91.57662641525269,0.012758028412917505,16.94,16.94,all,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
dp_fedsgd,DP-FedSGD,"Auddy et al., Statistical Limits and Efficient Algorithms for Differentially Private Federated Learning, arXiv:2605.18656, 2026.",0.4573404255319149,0.4581914893617021,0.45734042553191484,0.45819148936170206,0.4407898303569104,0.4418885739150542,0.9397202821461611,31.17704044342041,0.007849118946716006,16.94,16.94,all,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
dp_rtfl,DP-RTFL,,0.4953723404255319,0.4953723404255319,0.4953723404255319,0.4953723404255319,0.47505571264946556,0.47505571264946556,0.9418744594125807,90.80211683750153,0.012758028412917505,16.94,16.94,all,0,0,50,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
apdp_rtfl,APDP-RTFL,,0.43159574468085105,0.4319148936170213,0.431595744680851,0.43191489361702123,0.40981503063620567,0.4103326881562565,0.9397357105689174,37.3320436668396,0.013269582188983619,16.94,16.94,all,0,0,50,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
