method,round,accuracy,balanced_accuracy,f1_score,precision,recall,auc_roc,round_duration,agg_client_count,selected_client_count,participation_policy,dp_noise_scale,zkip_failures,ebcd_alert,tcm_state_count
dp_fl,1,0.018563829787234042,0.01856382978723404,0.017265935819175626,0.01700534968472019,0.01856382978723404,0.483547539893617,28.77135157585144,17,17,all,19.379221050421556,0,0,0
dp_fl,2,0.01978723404255319,0.019787234042553187,0.01846021008857317,0.01843875011728443,0.019787234042553187,0.4873158606036077,25.650559425354004,15,15,all,19.37922105042156,0,0,0
dp_fl,3,0.01797872340425532,0.01797872340425532,0.016535516392039082,0.016622101503276976,0.01797872340425532,0.48379235950508787,26.611793279647827,16,16,all,19.379221050421556,0,0,0
dp_fl,4,0.02452127659574468,0.024521276595744677,0.022143676417574875,0.021853244298186022,0.024521276595744677,0.5014721611933395,26.658411026000977,15,15,all,19.37922105042156,0,0,0
dp_fl,5,0.02398936170212766,0.02398936170212766,0.022834256523103523,0.024514922633898182,0.02398936170212766,0.5024323196114708,29.18681836128235,17,17,all,19.379221050421556,0,0,0
dp_fl,6,0.02143617021276596,0.021436170212765955,0.02196278697389833,0.024606079302181443,0.021436170212765955,0.4985975673566143,32.30995011329651,19,19,all,19.379221050421556,0,0,0
dp_fl,7,0.022393617021276596,0.0223936170212766,0.022262029908828633,0.024756647180375745,0.0223936170212766,0.4955359172641072,30.06840991973877,18,18,all,19.379221050421556,0,0,0
dp_fl,8,0.019840425531914892,0.019840425531914896,0.01899076957429866,0.020015296325678254,0.019840425531914896,0.49467444495837204,25.261264085769653,15,15,all,19.37922105042156,0,0,0
dp_fl,9,0.01898936170212766,0.018989361702127658,0.01813961495255615,0.019699305890613843,0.018989361702127658,0.49605788332562445,33.12213611602783,19,19,all,19.379221050421556,0,0,0
dp_fl,10,0.018404255319148938,0.018404255319148934,0.017334430422352918,0.01825379737533566,0.018404255319148934,0.4876635421484737,30.831527709960938,18,18,all,19.379221050421556,0,0,0
dp_fl,11,0.018936170212765956,0.018936170212765956,0.018171598042181873,0.0193645223360581,0.018936170212765956,0.48423822415587425,28.234215021133423,16,16,all,19.379221050421556,0,0,0
dp_fl,12,0.02021276595744681,0.020212765957446806,0.01950618754828976,0.02114211363090358,0.020212765957446806,0.48589607712765953,29.12505578994751,17,17,all,19.379221050421556,0,0,0
dp_fl,13,0.02170212765957447,0.02170212765957447,0.019906249059405814,0.020168985530603492,0.02170212765957447,0.4815594010175764,23.63503408432007,14,14,all,19.37922105042156,0,0,0
dp_fl,14,0.02452127659574468,0.024521276595744677,0.02211595588921277,0.021951795715389518,0.024521276595744677,0.48706993235430174,24.806829929351807,14,14,all,19.37922105042156,0,0,0
dp_fl,15,0.02127659574468085,0.021276595744680847,0.01944779198531404,0.01962936738219482,0.021276595744680847,0.4766318700855689,29.38821506500244,17,17,all,19.379221050421556,0,0,0
dp_fl,16,0.020691489361702127,0.02069148936170212,0.019727124684654915,0.021088990193308534,0.02069148936170212,0.47568024832331174,32.81254315376282,18,18,all,19.379221050421556,0,0,0
dp_fl,17,0.01803191489361702,0.018031914893617017,0.017691571212664053,0.019411882088440042,0.018031914893617017,0.4739607120143386,30.3702871799469,17,17,all,19.379221050421556,0,0,0
dp_fl,18,0.01803191489361702,0.01803191489361702,0.017675576089433064,0.019025654860394776,0.01803191489361702,0.4781230183279369,27.08201575279236,15,15,all,19.37922105042156,0,0,0
dp_fl,19,0.01680851063829787,0.01680851063829787,0.01619244495762836,0.017341752292675438,0.01680851063829787,0.48590201636216473,31.633831024169922,17,17,all,19.379221050421556,0,0,0
dp_fl,20,0.016170212765957447,0.016170212765957447,0.015921110952789728,0.017071029620641612,0.016170212765957447,0.4882800893270121,36.92499661445618,20,20,all,19.379221050421556,0,0,0
dp_fl,21,0.019095744680851064,0.019095744680851057,0.01802010673412868,0.018616426414680292,0.019095744680851057,0.4854059580249768,29.28806161880493,16,16,all,19.379221050421556,0,0,0
dp_fl,22,0.018563829787234042,0.018563829787234035,0.018221222147507272,0.01973271911620606,0.018563829787234035,0.4849806964037928,27.591363191604614,15,15,all,19.37922105042156,0,0,0
dp_fl,23,0.018936170212765956,0.018936170212765956,0.01780665976306313,0.01848872245796144,0.018936170212765956,0.48656969385985205,29.482527256011963,16,16,all,19.379221050421556,0,0,0
dp_fl,24,0.020638297872340425,0.020638297872340422,0.01949410288930146,0.01982078448462807,0.020638297872340422,0.4877107568223867,32.73151993751526,17,17,all,19.379221050421556,0,0,0
dp_fl,25,0.021329787234042552,0.021329787234042552,0.019899045846847044,0.020100132326712896,0.021329787234042552,0.49046955220860317,31.086552381515503,17,17,all,19.379221050421556,0,0,0
dp_fl,26,0.020478723404255317,0.02047872340425532,0.019073358829645334,0.019259219922588656,0.02047872340425532,0.4961240879394077,34.76394867897034,19,19,all,19.379221050421556,0,0,0
dp_fl,27,0.01957446808510638,0.01957446808510638,0.0185241953915925,0.018917982631199884,0.01957446808510638,0.49335361644310816,30.568559885025024,16,16,all,19.379221050421556,0,0,0
dp_fl,28,0.019148936170212766,0.01914893617021277,0.017881753586471507,0.018505171641242216,0.01914893617021277,0.4942999653098984,34.420103549957275,18,18,all,19.379221050421556,0,0,0
dp_fl,29,0.020585106382978724,0.02058510638297872,0.01908905996960527,0.019042324800455937,0.02058510638297872,0.4890619406221092,34.87846875190735,18,18,all,19.379221050421556,0,0,0
dp_fl,30,0.0199468085106383,0.019946808510638295,0.018445812276855215,0.018553957039866713,0.019946808510638295,0.4902990995027753,36.07012677192688,19,19,all,19.379221050421556,0,0,0
dp_fl,31,0.020106382978723403,0.0201063829787234,0.018954722642951744,0.019479615513397792,0.0201063829787234,0.4967012112627197,31.87213921546936,17,17,all,19.379221050421556,0,0,0
dp_fl,32,0.020797872340425533,0.020797872340425533,0.019408560382334017,0.019901677366193672,0.020797872340425533,0.49789027520814055,31.99325919151306,17,17,all,19.379221050421556,0,0,0
dp_fl,33,0.019680851063829788,0.019680851063829788,0.018485644225784977,0.019167272725369625,0.019680851063829788,0.4941826983117484,28.276943683624268,15,15,all,19.37922105042156,0,0,0
dp_fl,34,0.019202127659574467,0.019202127659574464,0.017953422063571065,0.01874195881769579,0.019202127659574464,0.4928580076318224,32.911128520965576,18,18,all,19.379221050421556,0,0,0
dp_fl,35,0.019627659574468086,0.019627659574468083,0.018502347698873683,0.019412874947664915,0.019627659574468083,0.49087801948427373,33.649932861328125,17,17,all,19.379221050421556,0,0,0
dp_fl,36,0.019042553191489363,0.019042553191489363,0.017620099933644363,0.018176054898520935,0.019042553191489363,0.49422175069380186,33.5722336769104,17,17,all,19.379221050421556,0,0,0
dp_fl,37,0.019308510638297874,0.01930851063829787,0.018079694845053233,0.018940435005219882,0.01930851063829787,0.4901317212072155,34.701364040374756,18,18,all,19.379221050421556,0,0,0
dp_fl,38,0.018351063829787233,0.018351063829787233,0.01725391173640347,0.017930351555430237,0.018351063829787233,0.4897906278908418,31.682255268096924,17,17,all,19.379221050421556,0,0,0
dp_fl,39,0.019308510638297874,0.01930851063829787,0.017419597192168543,0.017181157504227103,0.01930851063829787,0.49157020553885283,31.227399587631226,16,16,all,19.379221050421556,0,0,0
dp_fl,40,0.017819148936170214,0.01781914893617021,0.0166875477060746,0.016828758217301672,0.01781914893617021,0.49014831174838114,33.019713163375854,17,17,all,19.379221050421556,0,0,0
dp_fl,41,0.01797872340425532,0.01797872340425532,0.016851294559280864,0.017329729008632326,0.01797872340425532,0.4920461595166512,35.170377254486084,18,18,all,19.379221050421556,0,0,0
dp_fl,42,0.018882978723404255,0.018882978723404255,0.017839593326307416,0.018327199302949695,0.018882978723404255,0.49414109620721564,33.2114896774292,17,17,all,19.379221050421556,0,0,0
dp_fl,43,0.01978723404255319,0.01978723404255319,0.018674679137696045,0.019222896635890725,0.01978723404255319,0.4906915963228492,34.797181606292725,18,18,all,19.379221050421556,0,0,0
