round,client_id,tier,client_idx,epochs,upload_ratio,noise_multiplier,predicted_compute_seconds,predicted_communication_seconds,predicted_total_seconds,privacy_target_increment,utility_score
32,client_9,constrained,9,1,1.0,6.865434742818477,0.38619719626033056,0.29727529981999895,0.6834724960803296,0.22268381031520118,0.8009882309121881
32,client_3,standard,3,1,1.0,8.250736816220071,0.1463174118799716,0.0858537063259277,0.2321711182058993,0.22310899254459948,0.924330092863073
32,client_11,high,11,1,1.0,7.939215169933934,0.08007663999611778,0.020808251855340396,0.10088489185145817,0.22309787166407763,0.9553375211546533
32,client_2,high,2,1,1.0,8.242855657356452,0.08157583140102821,0.027899436089635986,0.10947526749066419,0.22317870334045994,0.9445130059167947
32,client_5,high,5,1,1.0,6.624991985578054,0.11445970964616134,0.021657117253971677,0.13611682690013302,0.22258314831129664,0.938260498438777
32,client_18,standard,18,1,1.0,7.207992241277723,0.17895544686649348,0.08310152553225789,0.26205697239875136,0.22279136638090544,0.9178883062358048
32,client_6,standard,6,1,1.0,6.967067205987555,0.1636953308147663,0.08637392313143459,0.2500692539462009,0.22275527500730527,0.9178849161120207
32,client_0,standard,0,1,1.0,8.043153787293994,0.1479012638415792,0.0873017244016984,0.2352029882432776,0.22310209553981986,0.9151402648364356
32,client_10,standard,10,1,1.0,7.033269929939955,0.16810548658579152,0.07591578774754534,0.24402127433333687,0.22276583415476958,0.9077111934030864
32,client_19,standard,19,1,1.0,6.918274633580155,0.21671544965363485,0.08932408369532137,0.3060395333489562,0.22269341560751688,0.905668666457922
32,client_4,standard,4,1,1.0,7.2212832357242505,0.16405220136748389,0.07941253565424863,0.24346473702173252,0.22284879653575843,0.9047303175748004
32,client_14,standard,14,1,1.0,6.707479397204597,0.2216862495440859,0.08035894191012354,0.30204519145420944,0.2225538947840534,0.9040117765169435
32,client_1,standard,1,1,1.0,6.426489926249628,0.20893728935169958,0.07266811924974867,0.2816054086014482,0.22243812539927502,0.9031271252081977
32,client_13,standard,13,1,1.0,6.779114145641598,0.1909338241016611,0.09672861240541772,0.2876624365070788,0.22261656749664127,0.8895560431757926
32,client_17,constrained,17,1,1.0,7.105313611900529,0.3741453783461474,0.4060838216290743,0.7802291999752218,0.22277675913669676,0.7891712054874701
32,client_15,constrained,15,1,1.0,7.23715498246613,0.42902199921350487,0.3102597943767156,0.7392817935902205,0.22285079122688603,0.7721535213386328
32,client_16,constrained,16,1,1.0,6.424344340870272,0.5277808306840179,0.3666060626763702,0.8943868933603881,0.2223942421129917,0.746938854800963
33,client_9,constrained,9,3,1.0,5.4923477942547825,1.3430582484329316,0.26879223313589484,1.6118504815688266,0.19093391867953008,0.48093073108942175
33,client_12,standard,12,1,1.0,7.07650808129001,0.17939795854238327,0.07765869626659613,0.25705665480897943,0.22272012562281965,0.6837839623537875
33,client_7,high,7,1,1.0,6.12035704864568,0.17127695642238963,0.024840961319557542,0.19611791774194717,0.222214708434236,0.7194486931693291
33,client_8,standard,8,1,1.0,8.545640506678618,0.1329172476272592,0.07673425820733076,0.20965150583458997,0.22325738836098394,0.6827363846722078
33,client_11,high,11,3,1.0,6.351372135947148,0.23320849410790517,0.023250318030799452,0.25645881213870464,0.192261392233542,0.6751835416004452
33,client_2,high,2,3,1.0,6.594284525885162,0.25751256014339224,0.02205397065217518,0.2795665307955674,0.19249214319245642,0.674419031175475
33,client_3,standard,3,3,1.0,6.600589452976057,0.4083714579409199,0.08891618869935285,0.49728764664027275,0.1920302109459573,0.6648742927395053
33,client_0,standard,0,3,1.0,6.434523029835195,0.45146551652836614,0.09685617692291541,0.5483216934512816,0.19218326068355424,0.6371490964993163
33,client_19,standard,19,3,1.0,5.534619706864124,0.5921659157260124,0.08812222306993597,0.6802881387959484,0.19091245271662705,0.6263765277308546
33,client_4,standard,4,3,1.0,5.7770265885794005,0.44364062674143756,0.09280326689444486,0.5364438936358824,0.1914887669973305,0.6218548746539341
33,client_10,standard,10,3,1.0,5.626615943951965,0.5442797304969432,0.09119391734733959,0.6354736478442828,0.19121357389391447,0.6139640403749659
33,client_13,standard,13,3,1.0,5.423291316513279,0.5995850681085908,0.07850786579649652,0.6780929339050873,0.19063124554066724,0.6047221943117326
33,client_1,standard,1,3,1.0,5.141191940999703,0.6927437752488576,0.06657663833265834,0.7593204135815159,0.1900933399927747,0.5999821566415497
34,client_17,constrained,17,3,1.0,5.684250889520424,1.0832547368991945,0.32000484099907733,1.4032595778982717,0.1911785618251896,0.5808956107305654
34,client_18,standard,18,3,1.0,5.7663937930221785,0.5331785080005591,0.09458380074212028,0.6277623087426794,0.1911283055216411,0.6900463883240835
34,client_5,high,5,3,1.0,5.299993588462444,0.3420356053288572,0.022071326785850068,0.36410693211470724,0.19068031124176718,0.6817992018244412
34,client_8,standard,8,3,1.0,6.836512405342894,0.3692091478542859,0.0694145895981807,0.4386237374524666,0.19274007441391264,0.6860849624603421
34,client_3,standard,3,3,1.0,5.569247350948548,0.4100925844882281,0.09386254439200425,0.5039551288802324,0.19515712027030485,0.6698824886823002
34,client_12,standard,12,3,1.0,5.661206465032008,0.5976163472447004,0.0801226285202227,0.677738975764923,0.19084682739376727,0.667845284227808
34,client_2,high,2,3,1.0,5.563927568715606,0.24073116775621806,0.023105453998519127,0.2638366217547372,0.19532045783590274,0.6674896954936644
34,client_11,high,11,3,1.0,5.358970239705406,0.2662138834342415,0.0213274221804585,0.28754130561470004,0.19521594420527383,0.6637294825058644
