method,client_id,round,steps,sample_rate,noise_multiplier,cumulative_epsilon,incremental_epsilon,target_epsilon,remaining_epsilon,status
apdp_rtfl,client_0,32,14,0.07343660355708548,8.043153787293994,0.22310209553981986,0.22310209553981986,5.0,4.7768979044601805,spent
apdp_rtfl,client_1,32,22,0.046276211135213303,6.426489926249628,0.22243812539927502,0.22243812539927502,5.0,4.777561874600725,spent
apdp_rtfl,client_2,32,13,0.07816793893129771,8.242855657356452,0.22317870334045994,0.22317870334045994,5.0,4.7768212966595405,spent
apdp_rtfl,client_3,32,14,0.07542722451384797,8.250736816220071,0.22310899254459948,0.22310899254459948,5.0,4.776891007455401,spent
apdp_rtfl,client_4,32,17,0.059534883720930236,7.2212832357242505,0.22284879653575843,0.22284879653575843,5.0,4.777151203464242,spent
apdp_rtfl,client_5,32,20,0.050117462803445575,6.624991985578054,0.22258314831129664,0.22258314831129664,5.0,4.777416851688703,spent
apdp_rtfl,client_6,32,18,0.05571273122959739,6.967067205987555,0.22275527500730527,0.22275527500730527,5.0,4.777244724992695,spent
apdp_rtfl,client_9,32,19,0.05340008343763037,6.865434742818477,0.22268381031520118,0.22268381031520118,5.0,4.777316189684798,spent
apdp_rtfl,client_10,32,18,0.05627610463838206,7.033269929939955,0.22276583415476958,0.22276583415476958,5.0,4.777234165845231,spent
apdp_rtfl,client_11,32,14,0.0724391624221845,7.939215169933934,0.22309787166407763,0.22309787166407763,5.0,4.776902128335922,spent
apdp_rtfl,client_13,32,20,0.051364365971107544,6.779114145641598,0.22261656749664127,0.22261656749664127,5.0,4.777383432503359,spent
apdp_rtfl,client_14,32,21,0.049573973663826494,6.707479397204597,0.2225538947840534,0.2225538947840534,5.0,4.7774461052159465,spent
apdp_rtfl,client_15,32,17,0.059673659673659674,7.23715498246613,0.22285079122688603,0.22285079122688603,5.0,4.777149208773114,spent
apdp_rtfl,client_16,32,23,0.04525366802191975,6.424344340870272,0.2223942421129917,0.2223942421129917,5.0,4.777605757887009,spent
apdp_rtfl,client_17,32,18,0.05688888888888889,7.105313611900529,0.22277675913669676,0.22277675913669676,5.0,4.777223240863303,spent
apdp_rtfl,client_18,32,18,0.05776173285198556,7.207992241277723,0.22279136638090544,0.22279136638090544,5.0,4.777208633619095,spent
apdp_rtfl,client_19,32,19,0.05383806519453207,6.918274633580155,0.22269341560751688,0.22269341560751688,5.0,4.777306584392483,spent
apdp_rtfl,client_0,33,42,0.07343660355708548,6.434523029835195,0.4152853562233741,0.19218326068355424,5.0,4.584714643776626,spent
apdp_rtfl,client_1,33,66,0.046276211135213303,5.141191940999703,0.4125314653920497,0.1900933399927747,5.0,4.58746853460795,spent
apdp_rtfl,client_2,33,39,0.07816793893129771,6.594284525885162,0.41567084653291636,0.19249214319245642,5.0,4.584329153467084,spent
apdp_rtfl,client_3,33,42,0.07542722451384797,6.600589452976057,0.4151392034905568,0.1920302109459573,5.0,4.584860796509443,spent
apdp_rtfl,client_4,33,51,0.059534883720930236,5.7770265885794005,0.4143375635330889,0.1914887669973305,5.0,4.585662436466911,spent
apdp_rtfl,client_7,33,25,0.04121719529866366,6.12035704864568,0.222214708434236,0.222214708434236,5.0,4.777785291565764,spent
apdp_rtfl,client_8,33,12,0.08446057406796437,8.545640506678618,0.22325738836098394,0.22325738836098394,5.0,4.776742611639016,spent
apdp_rtfl,client_9,33,57,0.05340008343763037,5.4923477942547825,0.41361772899473126,0.19093391867953008,5.0,4.586382271005268,spent
apdp_rtfl,client_10,33,54,0.05627610463838206,5.626615943951965,0.41397940804868405,0.19121357389391447,5.0,4.586020591951316,spent
apdp_rtfl,client_11,33,42,0.0724391624221845,6.351372135947148,0.4153592638976196,0.192261392233542,5.0,4.58464073610238,spent
apdp_rtfl,client_12,33,19,0.055148642826367944,7.07650808129001,0.22272012562281965,0.22272012562281965,5.0,4.7772798743771805,spent
apdp_rtfl,client_13,33,60,0.051364365971107544,5.423291316513279,0.4132478130373085,0.19063124554066724,5.0,4.586752186962691,spent
apdp_rtfl,client_19,33,57,0.05383806519453207,5.534619706864124,0.4136058683241439,0.19091245271662705,5.0,4.586394131675856,spent
apdp_rtfl,client_0,34,42,0.07343660355708548,5.429128806423446,0.6104815736665123,0.19519621744313825,5.0,4.389518426333487,spent
apdp_rtfl,client_2,34,39,0.07816793893129771,5.563927568715606,0.6109913043688191,0.19532045783590274,5.0,4.389008695631181,spent
apdp_rtfl,client_3,34,42,0.07542722451384797,5.569247350948548,0.6102963237608616,0.19515712027030485,5.0,4.389703676239138,spent
apdp_rtfl,client_4,34,51,0.059534883720930236,4.874366184113869,0.6092145187108946,0.19487695517780568,5.0,4.390785481289106,spent
apdp_rtfl,client_5,34,60,0.050117462803445575,5.299993588462444,0.4132634595530638,0.19068031124176718,5.0,4.586736540446936,spent
apdp_rtfl,client_8,34,36,0.08446057406796437,6.836512405342894,0.4159974627748966,0.19274007441391264,5.0,4.584002537225103,spent
apdp_rtfl,client_9,34,57,0.05340008343763037,4.634168451402473,0.6082576760098383,0.194639947015107,5.0,4.391742323990162,spent
