method,label,round,accuracy,balanced_accuracy,f1_score,auc_roc,dp_noise_scale,agg_client_count,selected_client_count,participation_policy,zkip_failures,ebcd_alert,tcm_state_count,round_duration
fedavg,FedAvg,28,0.6318085106382979,0.6318085106382979,0.6247491030159892,0.9613842651480113,0.0,20,20,all,0,0,0,32.12286591529846
fedavg,FedAvg,29,0.6319148936170212,0.6319148936170211,0.6249171494455373,0.9613093374190563,0.0,20,20,all,0,0,0,31.95818328857422
fedavg,FedAvg,30,0.6318085106382979,0.6318085106382979,0.6248419659731187,0.9613742050185013,0.0,20,20,all,0,0,0,32.292991161346436
fedavg,FedAvg,31,0.6318617021276596,0.6318617021276596,0.624890313718891,0.9613194466928769,0.0,20,20,all,0,0,0,32.106767416000366
fedavg,FedAvg,32,0.6326063829787234,0.6326063829787234,0.6255298392579942,0.9614216784227568,0.0,20,20,all,0,0,0,32.49430179595947
fedavg,FedAvg,33,0.6329787234042553,0.6329787234042553,0.625990183234329,0.9614796600370027,0.0,20,20,all,0,0,0,32.39496040344238
fedavg,FedAvg,34,0.6335106382978724,0.6335106382978724,0.6265864618491561,0.9615085222016652,0.0,20,20,all,0,0,0,32.035664081573486
fedavg,FedAvg,35,0.6320212765957447,0.6320212765957447,0.6250249645780322,0.961539462881591,0.0,20,20,all,0,0,0,31.932028770446777
fedavg,FedAvg,36,0.6323936170212766,0.6323936170212767,0.6256076525014446,0.9615718229648476,0.0,20,20,all,0,0,0,32.124001264572144
fedavg,FedAvg,37,0.6328723404255319,0.632872340425532,0.6261639591337975,0.9616414864708602,0.0,20,20,all,0,0,0,32.35212755203247
fedavg,FedAvg,38,0.6329255319148936,0.6329255319148936,0.6260886741749776,0.9616729764107307,0.0,20,20,all,0,0,0,32.40702986717224
fedavg,FedAvg,39,0.6322872340425532,0.632287234042553,0.6254621622555802,0.9615118322155412,0.0,20,20,all,0,0,0,32.417869091033936
fedavg,FedAvg,40,0.6326063829787234,0.6326063829787234,0.6258027156532449,0.9616621733348751,0.0,20,20,all,0,0,0,32.383413553237915
fedavg,FedAvg,41,0.6332978723404256,0.6332978723404256,0.6265124856422005,0.9616742050185014,0.0,20,20,all,0,0,0,31.791306972503662
fedavg,FedAvg,42,0.6331382978723404,0.6331382978723405,0.62632048483334,0.9617094154717855,0.0,20,20,all,0,0,0,31.47456693649292
fedavg,FedAvg,43,0.6326595744680851,0.6326595744680851,0.6258001958819306,0.9617324728260871,0.0,20,20,all,0,0,0,31.68605327606201
fedavg,FedAvg,44,0.6328191489361702,0.6328191489361703,0.6261954690531071,0.9616799751387604,0.0,20,20,all,0,0,0,32.32312250137329
fedavg,FedAvg,45,0.6325,0.6325,0.6257209316966651,0.9617486933395005,0.0,20,20,all,0,0,0,32.193357706069946
fedavg,FedAvg,46,0.6328723404255319,0.6328723404255319,0.6261899040831993,0.9617813974329327,0.0,20,20,all,0,0,0,32.28073859214783
fedavg,FedAvg,47,0.6323404255319149,0.6323404255319149,0.6257682652558106,0.9618215223172989,0.0,20,20,all,0,0,0,32.41442918777466
fedavg,FedAvg,48,0.632127659574468,0.6321276595744679,0.6254756911722883,0.9617823687557815,0.0,20,20,all,0,0,0,31.83597493171692
fedavg,FedAvg,49,0.6332446808510638,0.6332446808510638,0.6266452256891124,0.9616564147779831,0.0,20,20,all,0,0,0,31.88934564590454
fedavg,FedAvg,50,0.6332978723404256,0.6332978723404254,0.6269327498487636,0.9618608290934318,0.0,20,20,all,0,0,0,32.07746434211731
