method,client_id,target_epsilon,final_epsilon,remaining_epsilon,spent_events,budget_exhausted_events
apdp_rtfl,client_0,5.0,4.7052936694565926,0.29470633054340745,48,0
apdp_rtfl,client_1,5.0,3.7132668958294857,1.2867331041705143,46,0
apdp_rtfl,client_10,5.0,2.5566078441816713,2.4433921558183287,45,0
apdp_rtfl,client_11,5.0,2.551081928824134,2.448918071175866,45,0
apdp_rtfl,client_12,5.0,2.427496898855537,2.572503101144463,41,0
apdp_rtfl,client_13,5.0,2.5005330973877937,2.4994669026122063,43,0
apdp_rtfl,client_14,5.0,2.4614860279668602,2.5385139720331398,42,0
apdp_rtfl,client_15,5.0,2.441361922415587,2.558638077584413,41,0
apdp_rtfl,client_16,5.0,2.4532166371458555,2.5467833628541445,41,0
apdp_rtfl,client_17,5.0,2.4949933511833176,2.5050066488166824,43,0
apdp_rtfl,client_18,5.0,2.4533390941043294,2.5466609058956706,41,0
apdp_rtfl,client_19,5.0,2.468581975055415,2.531418024944585,42,0
apdp_rtfl,client_2,5.0,3.354068250175694,1.6459317498243058,38,0
apdp_rtfl,client_3,5.0,2.4739396712856356,2.5260603287143644,42,0
apdp_rtfl,client_4,5.0,2.4414371447971543,2.5585628552028457,41,0
apdp_rtfl,client_5,5.0,2.5317727246180075,2.4682272753819925,44,0
apdp_rtfl,client_6,5.0,2.5376883943856017,2.4623116056143983,44,0
apdp_rtfl,client_7,5.0,2.399964739429305,2.600035260570695,40,0
apdp_rtfl,client_8,5.0,2.3883568547644733,2.6116431452355267,40,0
apdp_rtfl,client_9,5.0,2.4330481421562418,2.5669518578437582,40,0
