method,client_id,target_epsilon,final_epsilon,remaining_epsilon,spent_events,budget_exhausted_events
dp_flprox,client_0,5.0,4.892103403719755,0.10789659628024495,48,0
dp_flprox,client_1,5.0,4.784206807439519,0.21579319256048102,46,0
dp_flprox,client_10,5.0,4.730258509299389,0.2697414907006106,45,0
dp_flprox,client_11,5.0,4.730258509299398,0.2697414907006017,45,0
dp_flprox,client_12,5.0,4.514014057155014,0.4859859428449864,41,0
dp_flprox,client_13,5.0,4.622361913019166,0.37763808698083423,43,0
dp_flprox,client_14,5.0,4.568413614879041,0.43158638512095937,42,0
dp_flprox,client_15,5.0,4.514404995812468,0.4855950041875321,41,0
dp_flprox,client_16,5.0,4.514393550464908,0.4856064495350916,41,0
dp_flprox,client_17,5.0,4.622361913019166,0.37763808698083423,43,0
dp_flprox,client_18,5.0,4.51406837087136,0.48593162912863974,41,0
dp_flprox,client_19,5.0,4.56841361487904,0.43158638512096026,42,0
dp_flprox,client_2,5.0,4.324066813714826,0.6759331862851736,38,0
dp_flprox,client_3,5.0,4.5684136148790415,0.4315863851209585,42,0
dp_flprox,client_4,5.0,4.514445340366042,0.4855546596339577,41,0
dp_flprox,client_5,5.0,4.676310211159278,0.3236897888407224,44,0
dp_flprox,client_6,5.0,4.676310211159285,0.3236897888407153,44,0
dp_flprox,client_7,5.0,4.451372282089663,0.5486277179103372,40,0
dp_flprox,client_8,5.0,4.4505690701782035,0.5494309298217965,40,0
dp_flprox,client_9,5.0,4.45125593564674,0.5487440643532597,40,0
