method,client_id,round,steps,sample_rate,noise_multiplier,cumulative_epsilon,incremental_epsilon,target_epsilon,remaining_epsilon,status
dp_flprox,client_0,1,42,0.07343660355708548,3.6559789942245424,0.710826644801057,0.710826644801057,5.0,4.289173355198943,spent
dp_flprox,client_1,1,66,0.046276211135213303,2.9211317846589218,0.714728269346243,0.714728269346243,5.0,4.285271730653757,spent
dp_flprox,client_2,1,39,0.07816793893129771,3.74675257152566,0.7111016822730514,0.7111016822730514,5.0,4.288898317726948,spent
dp_flprox,client_4,1,51,0.059534883720930236,3.28240147078375,0.713357831952725,0.713357831952725,5.0,4.286642168047275,spent
dp_flprox,client_6,1,54,0.05571273122959739,3.166848729994343,0.7144717305520643,0.7144717305520643,5.0,4.285528269447935,spent
dp_flprox,client_7,1,75,0.04121719529866366,2.781980476657127,0.7146903588866479,0.7146903588866479,5.0,4.285309641113352,spent
dp_flprox,client_8,1,36,0.08446057406796437,3.8843820484902802,0.7106714483531125,0.7106714483531125,5.0,4.2893285516468875,spent
dp_flprox,client_9,1,57,0.05340008343763037,3.1206521558265803,0.7139636934731057,0.7139636934731057,5.0,4.286036306526894,spent
dp_flprox,client_10,1,54,0.05627610463838206,3.1969408772454337,0.7137012453181041,0.7137012453181041,5.0,4.286298754681896,spent
dp_flprox,client_11,1,42,0.0724391624221845,3.608734168151788,0.7117985958729729,0.7117985958729729,5.0,4.288201404127027,spent
dp_flprox,client_12,1,57,0.055148642826367944,3.2165945824045497,0.7115782685694401,0.7115782685694401,5.0,4.28842173143056,spent
dp_flprox,client_13,1,60,0.051364365971107544,3.0814155207461806,0.7133800404017928,0.7133800404017928,5.0,4.286619959598207,spent
dp_flprox,client_14,1,63,0.049573973663826494,3.048854271456635,0.7127172414856102,0.7127172414856102,5.0,4.28728275851439,spent
dp_flprox,client_15,1,51,0.059673659673659674,3.289615901120968,0.7131835227334913,0.7131835227334913,5.0,4.286816477266509,spent
dp_flprox,client_16,1,69,0.04525366802191975,2.920156518577396,0.7133483729741036,0.7133483729741036,5.0,4.286651627025896,spent
dp_flprox,client_17,1,54,0.05688888888888889,3.229688005409331,0.7128890452133659,0.7128890452133659,5.0,4.287110954786634,spent
dp_flprox,client_19,1,57,0.05383806519453207,3.144670287990979,0.7133443431132744,0.7133443431132744,5.0,4.286655656886726,spent
dp_flprox,client_0,2,42,0.07343660355708548,3.6559789942245424,0.9820922267074672,0.27126558190641026,5.0,4.017907773292533,spent
dp_flprox,client_1,2,66,0.046276211135213303,2.9211317846589218,0.9853022133403606,0.2705739439941176,5.0,4.01469778665964,spent
dp_flprox,client_4,2,51,0.059534883720930236,3.28240147078375,0.9842040431432235,0.27084621119049856,5.0,4.015795956856777,spent
dp_flprox,client_5,2,60,0.050117462803445575,3.01135999344457,0.7152187783058451,0.7152187783058451,5.0,4.284781221694155,spent
dp_flprox,client_6,2,54,0.05571273122959739,3.166848729994343,0.985128350791252,0.2706566202391878,5.0,4.014871649208748,spent
dp_flprox,client_7,2,75,0.04121719529866366,2.781980476657127,0.9852350807159791,0.2705447218293312,5.0,4.014764919284021,spent
dp_flprox,client_8,2,36,0.08446057406796437,3.8843820484902802,0.9819887138203265,0.271317265467214,5.0,4.018011286179673,spent
dp_flprox,client_10,2,54,0.05627610463838206,3.1969408772454337,0.9844802725852978,0.2707790272671937,5.0,4.015519727414702,spent
dp_flprox,client_11,2,42,0.0724391624221845,3.608734168151788,0.9829226073076303,0.27112401143465736,5.0,4.01707739269237,spent
dp_flprox,client_12,2,57,0.055148642826367944,3.2165945824045497,0.9826717977602426,0.27109352919080254,5.0,4.017328202239757,spent
dp_flprox,client_14,2,63,0.049573973663826494,3.048854271456635,0.9836134669219846,0.27089622543637437,5.0,4.016386533078015,spent
dp_flprox,client_15,2,51,0.059673659673659674,3.289615901120968,0.9840567586370647,0.2708732359035734,5.0,4.015943241362935,spent
dp_flprox,client_17,2,54,0.05688888888888889,3.229688005409331,0.9837947365744573,0.2709056913610913,5.0,4.016205263425543,spent
dp_flprox,client_18,2,54,0.05776173285198556,3.276360109671692,0.7117761156202072,0.7117761156202072,5.0,4.288223884379793,spent
dp_flprox,client_19,2,57,0.05383806519453207,3.144670287990979,0.9841664745332316,0.27082213141995715,5.0,4.0158335254667685,spent
dp_flprox,client_0,3,42,0.07343660355708548,3.6559789942245424,1.192674823138728,0.21058259643126087,5.0,3.807325176861272,spent
dp_flprox,client_1,3,66,0.046276211135213303,2.9211317846589218,1.1958889963630261,0.21058678302266554,5.0,3.804111003636974,spent
dp_flprox,client_2,3,39,0.07816793893129771,3.74675257152566,0.9823419859044422,0.27124030363139084,5.0,4.017658014095558,spent
dp_flprox,client_3,3,42,0.07542722451384797,3.7503349164636686,0.7089955231889739,0.7089955231889739,5.0,4.291004476811026,spent
dp_flprox,client_5,3,60,0.050117462803445575,3.01135999344457,0.9857774420213721,0.27055866371552695,5.0,4.014222557978628,spent
dp_flprox,client_6,3,54,0.05571273122959739,3.166848729994343,1.1957305968012357,0.21060224600998367,5.0,3.8042694031987643,spent
dp_flprox,client_7,3,75,0.04121719529866366,2.781980476657127,1.195809599820452,0.210574519104473,5.0,3.804190400179548,spent
dp_flprox,client_8,3,36,0.08446057406796437,3.8843820484902802,1.1925795365914045,0.210590822771078,5.0,3.8074204634085955,spent
dp_flprox,client_9,3,57,0.05340008343763037,3.1206521558265803,0.984687904744395,0.2707242112712893,5.0,4.015312095255605,spent
dp_flprox,client_10,3,54,0.05627610463838206,3.1969408772454337,1.1950760712439186,0.21059579865862077,5.0,3.8049239287560814,spent
dp_flprox,client_11,3,42,0.0724391624221845,3.608734168151788,1.193517326883891,0.21059471957626075,5.0,3.806482673116109,spent
dp_flprox,client_12,3,57,0.055148642826367944,3.2165945824045497,1.1932423845860196,0.210570586825777,5.0,3.8067576154139804,spent
dp_flprox,client_15,3,51,0.059673659673659674,3.289615901120968,1.1946522552448997,0.21059549660783505,5.0,3.8053477447551005,spent
dp_flprox,client_17,3,54,0.05688888888888889,3.229688005409331,1.1943829964330117,0.21058825985855445,5.0,3.8056170035669883,spent
dp_flprox,client_18,3,54,0.05776173285198556,3.276360109671692,0.9828514448549458,0.27107532923473865,5.0,4.017148555145054,spent
dp_flprox,client_19,3,57,0.05383806519453207,3.144670287990979,1.1947547767420472,0.21058830220881564,5.0,3.805245223257953,spent
dp_flprox,client_0,4,42,0.07343660355708548,3.6559789942245424,1.371978863079281,0.179304039940553,5.0,3.6280211369207187,spent
dp_flprox,client_4,4,51,0.059534883720930236,3.28240147078375,1.1948012026860173,0.2105971595427938,5.0,3.8051987973139827,spent
dp_flprox,client_5,4,60,0.050117462803445575,3.01135999344457,1.1963764093760345,0.21059896735466244,5.0,3.8036235906239657,spent
dp_flprox,client_6,4,54,0.05571273122959739,3.166848729994343,1.3745363402113053,0.1788057434100696,5.0,3.6254636597886947,spent
dp_flprox,client_7,4,75,0.04121719529866366,2.781980476657127,1.374580537151155,0.17877093733070293,5.0,3.625419462848845,spent
dp_flprox,client_8,4,36,0.08446057406796437,3.8843820484902802,1.3719062302994516,0.1793266937080471,5.0,3.6280937697005484,spent
dp_flprox,client_10,4,54,0.05627610463838206,3.1969408772454337,1.3739867209733334,0.17891064972941484,5.0,3.6260132790266666,spent
dp_flprox,client_11,4,42,0.0724391624221845,3.608734168151788,1.3726892362736174,0.17917190938972638,5.0,3.6273107637263826,spent
dp_flprox,client_12,4,57,0.055148642826367944,3.2165945824045497,1.3724413633754162,0.1791989787893966,5.0,3.6275586366245838,spent
dp_flprox,client_13,4,60,0.051364365971107544,3.0814155207461806,0.9841840781009867,0.2708040376991939,5.0,4.015815921899013,spent
dp_flprox,client_14,4,63,0.049573973663826494,3.048854271456635,1.194188041188819,0.21057457426683446,5.0,3.805811958811181,spent
dp_flprox,client_15,4,51,0.059673659673659674,3.289615901120968,1.3736338931488419,0.17898163790394217,5.0,3.626366106851158,spent
dp_flprox,client_16,4,69,0.04525366802191975,2.920156518577396,0.9841218471561444,0.2707734741820408,5.0,4.015878152843856,spent
dp_flprox,client_17,4,54,0.05688888888888889,3.229688005409331,1.3734041876269774,0.17902119119396565,5.0,3.6265958123730226,spent
dp_flprox,client_19,4,57,0.05383806519453207,3.144670287990979,1.3737135244984708,0.17895874775642362,5.0,3.626286475501529,spent
dp_flprox,client_0,5,42,0.07343660355708548,3.6559789942245424,1.5303317106999266,0.1583528476206455,5.0,3.469668289300073,spent
dp_flprox,client_1,5,66,0.046276211135213303,2.9211317846589218,1.3746560980766862,0.17876710171366006,5.0,3.625343901923314,spent
dp_flprox,client_2,5,39,0.07816793893129771,3.74675257152566,1.1929331389453868,0.21059115304094456,5.0,3.8070668610546132,spent
dp_flprox,client_3,5,42,0.07542722451384797,3.7503349164636686,0.980518959020495,0.27152343583152116,5.0,4.019481040979505,spent
dp_flprox,client_6,5,54,0.05571273122959739,3.166848729994343,1.5330127072379818,0.15847636702667645,5.0,3.4669872927620182,spent
dp_flprox,client_7,5,75,0.04121719529866366,2.781980476657127,1.5330517591973662,0.15847122204621122,5.0,3.4669482408026338,spent
dp_flprox,client_8,5,36,0.08446057406796437,3.8843820484902802,1.5302579843021886,0.15835175400273704,5.0,3.469742015697811,spent
dp_flprox,client_9,5,57,0.05340008343763037,3.1206521558265803,1.1952815566876134,0.21059365194321833,5.0,3.8047184433123866,spent
dp_flprox,client_10,5,54,0.05627610463838206,3.1969408772454337,1.5324359188228365,0.15844919784950307,5.0,3.4675640811771635,spent
dp_flprox,client_11,5,42,0.0724391624221845,3.608734168151788,1.5310781467130223,0.15838891043940495,5.0,3.468921853286978,spent
dp_flprox,client_12,5,57,0.055148642826367944,3.2165945824045497,1.530812322854297,0.1583709594788807,5.0,3.469187677145703,spent
dp_flprox,client_14,5,63,0.049573973663826494,3.048854271456635,1.3732312290596034,0.17904318787078433,5.0,3.6267687709403966,spent
dp_flprox,client_15,5,51,0.059673659673659674,3.289615901120968,1.532066672780791,0.15843277963194913,5.0,3.467933327219209,spent
dp_flprox,client_16,5,69,0.04525366802191975,2.920156518577396,1.1946943699619652,0.21057252280582084,5.0,3.805305630038035,spent
